id_fermata,lat_fermata,lon_fermata,sequenza_fermate
051_0_A,38.19092,15.55564,7
051_0_A,38.18828,15.55362,8
051_0_A,38.18942,15.55154,9
051_0_A,38.19728,15.5564,10
051_0_A,38.1971,15.55734,11
051_0_A,38.20559,15.5582,12
051_0_A,38.20671,15.55834,13
051_0_A,38.20716,15.5572,14
051_0_A,38.20771,15.55611,15
051_0_A,38.20842,15.55501,16
051_0_A,38.20899,15.55415,17
051_0_A,38.20914,15.55417,18
051_0_A,38.20941,15.55421,19
051_0_A,38.20973,15.55437,20
051_0_A,38.20987,15.5545,21
051_0_A,38.21,15.55475,22
051_0_A,38.21009,15.55487,23
051_0_A,38.21049,15.55508,24
051_0_A,38.21094,15.55536,25
051_0_A,38.21106,15.55547,26
051_0_A,38.21112,15.55562,27
051_0_A,38.21118,15.55582,28
051_0_A,38.21123,15.55597,29
051_0_A,38.21131,15.55603,30
051_0_A,38.21142,15.55592,31
051_0_A,38.21138,15.55581,32
051_0_A,38.21129,15.55555,33
051_0_A,38.21114,15.55517,34
051_0_A,38.21106,15.55496,35
051_0_A,38.2109,15.55472,36
051_0_A,38.21077,15.55453,37
051_0_A,38.21072,15.5544,38
051_0_A,38.21076,15.55432,39
051_0_A,38.21084,15.55429,40
051_0_A,38.21165,15.55429,41
051_0_A,38.21179,15.55436,42
051_0_A,38.2119,15.55453,43
051_0_A,38.21206,15.55476,44
051_0_A,38.21222,15.55498,45
051_0_A,38.21241,15.55507,46
051_0_A,38.2126,15.55507,47
051_0_A,38.21284,15.55493,48
051_0_A,38.21307,15.55475,49
051_0_A,38.2132,15.55471,50
051_0_A,38.21337,15.55469,51
051_0_A,38.21352,15.55471,52
051_0_A,38.21372,15.55467,53
051_0_A,38.21383,15.55455,54
051_0_A,38.21392,15.55433,55
051_0_A,38.21403,15.55401,56
051_0_A,38.21379,15.55373,57
051_0_A,38.21363,15.55338,58
051_0_A,38.21339,15.55262,59
051_0_A,38.21311,15.55186,60
051_0_A,38.21264,15.55102,61
051_0_A,38.21243,15.55072,62
051_0_A,38.21212,15.55025,63
051_0_A,38.21162,15.54984,64
051_0_A,38.21132,15.54968,65
051_0_A,38.21118,15.5496,66
051_0_A,38.21067,15.54929,67
051_0_A,38.21105,15.54803,68
051_0_A,38.21103,15.54793,69
051_0_A,38.21135,15.54712,70
051_0_A,38.2117,15.54636,71
051_0_A,38.21209,15.54548,72
051_0_A,38.21232,15.54489,73
051_0_A,38.21258,15.54406,74
051_0_A,38.21316,15.54208,75
051_0_A,38.21383,15.53975,76
051_0_A,38.21399,15.53977,77
051_0_A,38.21413,15.53972,78
051_0_A,38.2153,15.53947,79
051_0_A,38.21554,15.53964,80
051_0_A,38.21633,15.54177,81
01_0_A,38.2237518,15.6323862,8
01_0_A,38.2244767,15.6308842,6
051_0_R,38.18634,15.56041,160
051_0_R,38.18553,15.55968,158
051_0_R,38.18516,15.55937,156
051_0_R,38.18513,15.55831,154
051_0_R,38.18632,15.55661,152
051_0_R,38.18726,15.55532,150
051_0_R,38.18828,15.55361,148
051_0_R,38.19729,15.55631,146
051_0_R,38.19888,15.55739,144
051_0_R,38.20102,15.55763,142
051_0_R,38.20449,15.55795,140
051_0_R,38.20665,15.55817,138
051_0_R,38.20689,15.55758,136
051_0_R,38.20765,15.55601,134
051_0_R,38.20847,15.55471,132
051_0_R,38.20935,15.55313,130
051_0_R,38.2101,15.55087,128
051_0_R,38.21054,15.54918,126
051_0_R,38.21049,15.54877,124
051_0_R,38.21051,15.54837,122
051_0_R,38.21072,15.54804,120
051_0_R,38.211,15.54796,118
051_0_R,38.21072,15.54926,116
051_0_R,38.21166,15.54984,114
051_0_R,38.21266,15.55102,112
051_0_R,38.21365,15.55336,110
051_0_R,38.21406,15.55396,108
051_0_R,38.21472,15.55297,106
051_0_R,38.21489,15.5522,104
051_0_R,38.2152,15.55109,102
051_0_R,38.2155,15.55034,100
051_0_R,38.21569,15.55001,98
051_0_R,38.21609,15.54924,96
051_0_R,38.21735,15.54745,94
051_0_R,38.21789,15.54747,92
051_0_R,38.21824,15.54747,90
051_0_R,38.21834,15.54719,88
051_0_R,38.21853,15.54671,86
051_0_R,38.21863,15.54635,84
051_0_R,38.21868,15.54595,82
051_0_R,38.21893,15.54559,80
051_0_R,38.21934,15.5452,78
051_0_R,38.21933,15.54487,76
051_0_R,38.21948,15.54435,74
051_0_R,38.21959,15.54411,72
051_0_R,38.21946,15.54415,70
051_0_R,38.21931,15.5444,68
051_0_R,38.21921,15.54465,66
051_0_R,38.21907,15.54487,64
051_0_R,38.21906,15.54451,62
051_0_R,38.21917,15.54401,60
051_0_R,38.21922,15.54357,58
051_0_R,38.21912,15.54327,56
051_0_R,38.21872,15.5425,54
051_0_R,38.21803,15.54213,52
051_0_R,38.21801,15.54164,50
051_0_R,38.21786,15.54092,48
051_0_R,38.21802,15.54004,46
051_0_R,38.2184,15.53964,44
051_0_R,38.21836,15.53913,42
051_0_R,38.2174,15.53818,40
051_0_R,38.21695,15.53773,38
051_0_R,38.21697,15.53715,36
051_0_R,38.21717,15.53643,34
051_0_R,38.21783,15.5363,32
051_0_R,38.21797,15.53609,30
051_0_R,38.21778,15.53599,28
051_0_R,38.21741,15.53608,26
051_0_R,38.217,15.53581,24
051_0_R,38.21673,15.53554,22
051_0_R,38.21644,15.53572,20
051_0_R,38.21632,15.53639,18
051_0_R,38.216,15.53714,16
051_0_R,38.21563,15.53752,14
051_0_R,38.21526,15.53772,12
051_0_R,38.21491,15.53827,10
051_0_R,38.21451,15.53806,8
051_0_R,38.21424,15.53858,6
051_0_R,38.21386,15.53968,5
051_0_R,38.21502,15.53945,4
051_0_R,38.21538,15.53946,3
051_0_R,38.21567,15.53987,2
051_0_R,38.21634,15.54167,1
015_2_R,38.1539,15.5313,33
015_2_R,38.15224,15.5303,32
015_2_R,38.15288,15.52882,31
015_2_R,38.15463,15.52862,30
015_2_R,38.15245,15.52751,29
015_2_R,38.15258,15.52713,28
015_2_R,38.1536,15.52626,27
015_2_R,38.15499,15.52483,26
015_2_R,38.15633,15.5239,25
015_2_R,38.15706,15.52342,24
015_2_R,38.15762,15.52328,23
015_2_R,38.15833,15.52312,22
015_2_R,38.15892,15.52276,21
015_2_R,38.15937,15.5223,20
015_2_R,38.16012,15.52145,19
015_2_R,38.16028,15.52114,18
015_2_R,38.16029,15.52037,17
015_2_R,38.16045,15.51991,16
015_2_R,38.16071,15.51944,15
015_2_R,38.16035,15.52043,14
015_2_R,38.16036,15.52113,13
015_2_R,38.16025,15.52143,12
015_2_R,38.159,15.52279,11
015_2_R,38.15839,15.52317,10
015_2_R,38.15768,15.52337,9
015_2_R,38.15711,15.52351,8
015_2_R,38.15636,15.52398,7
015_2_R,38.15506,15.5249,6
015_2_R,38.15363,15.52632,5
015_2_R,38.15266,15.52716,4
015_2_R,38.15255,15.52749,3
015_2_R,38.15471,15.52855,2
015_2_R,38.15552,15.52647,1
015_1_R,38.17559,15.5455,67
015_1_R,38.17574,15.54527,66
015_1_R,38.17615,15.54545,65
015_1_R,38.17628,15.54579,64
015_1_R,38.17526,15.54768,63
015_1_R,38.17504,15.54747,62
015_1_R,38.17477,15.54737,61
015_1_R,38.17429,15.54719,60
015_1_R,38.17358,15.54648,59
015_1_R,38.17315,15.54577,58
015_1_R,38.17254,15.5451,57
015_1_R,38.17149,15.54688,56
015_1_R,38.17065,15.54616,55
015_1_R,38.16792,15.54364,54
015_1_R,38.16553,15.54141,53
015_1_R,38.16278,15.53896,52
015_1_R,38.16251,15.5387,51
015_1_R,38.16199,15.53829,50
015_1_R,38.16127,15.53759,49
015_1_R,38.1608,15.53713,48
015_1_R,38.16043,15.53669,47
015_1_R,38.16021,15.53634,46
015_1_R,38.15976,15.53562,45
015_1_R,38.15949,15.53521,44
015_1_R,38.15923,15.53489,43
015_1_R,38.15889,15.53464,42
015_1_R,38.15785,15.53402,41
015_1_R,38.15725,15.53383,40
015_1_R,38.15695,15.53365,39
015_1_R,38.15648,15.53316,38
015_1_R,38.15542,15.53208,37
015_1_R,38.1545,15.53155,36
015_1_R,38.15396,15.53127,35
015_1_R,38.15375,15.53172,34
015_1_R,38.15328,15.53288,33
015_1_R,38.15302,15.53336,32
015_1_R,38.15269,15.53369,31
015_1_R,38.15119,15.53252,30
015_1_R,38.15103,15.53241,29
015_1_R,38.15075,15.53222,28
015_1_R,38.14985,15.53153,27
015_1_R,38.14879,15.53288,26
015_1_R,38.14955,15.53343,25
015_1_R,38.14972,15.53334,24
015_1_R,38.15057,15.53355,23
015_1_R,38.15049,15.53403,22
015_1_R,38.15069,15.53424,21
015_1_R,38.15113,15.53449,20
015_1_R,38.15132,15.53431,19
015_1_R,38.15123,15.534,18
015_1_R,38.15093,15.53366,17
015_1_R,38.15065,15.53351,16
015_1_R,38.14973,15.53328,15
015_1_R,38.14952,15.53336,14
015_1_R,38.14885,15.53285,13
015_1_R,38.14981,15.53147,12
015_1_R,38.15079,15.53219,11
015_0_R,38.15269,15.53369,31
015_0_R,38.15119,15.53252,30
015_0_R,38.15103,15.53241,29
015_0_R,38.15075,15.53222,28
015_0_R,38.14985,15.53153,27
015_0_R,38.14879,15.53288,26
015_0_R,38.14955,15.53343,25
015_0_R,38.14972,15.53334,24
015_0_R,38.15057,15.53355,23
015_0_R,38.15049,15.53403,22
015_0_R,38.15069,15.53424,21
015_0_R,38.15113,15.53449,20
015_0_R,38.15132,15.53431,19
015_0_R,38.15123,15.534,18
015_0_R,38.15093,15.53366,17
015_0_R,38.15065,15.53351,16
015_0_R,38.14973,15.53328,15
015_0_R,38.14952,15.53336,14
015_0_R,38.14885,15.53285,13
015_0_R,38.14981,15.53147,12
015_0_R,38.15079,15.53219,11
015_0_R,38.15106,15.53226,10
015_0_R,38.1512,15.53246,9
015_0_R,38.15272,15.53364,8
015_0_R,38.153,15.53332,7
015_0_R,38.15325,15.53285,6
015_0_R,38.1539,15.53123,5
015_0_R,38.15225,15.53031,4
015_0_R,38.15297,15.5288,3
015_0_R,38.1547,15.52858,2
015_0_R,38.15538,15.52674,1
015_1_A,38.1554,15.52675,29
015_1_A,38.15473,15.52862,28
015_1_A,38.15297,15.52885,27
015_1_A,38.15275,15.5293,26
015_1_A,38.15227,15.53033,25
015_1_A,38.15392,15.53119,24
015_1_A,38.15433,15.53141,23
015_1_A,38.15542,15.53205,22
015_1_A,38.15611,15.53276,21
015_1_A,38.15694,15.53357,20
015_1_A,38.15724,15.53379,19
015_1_A,38.15782,15.53399,18
015_1_A,38.15879,15.53454,17
015_1_A,38.15915,15.53478,16
051_0_A,38.18694,15.5595,1
051_0_A,38.18707,15.55892,2
051_0_A,38.18735,15.55838,3
051_0_A,38.18765,15.55862,4
051_0_A,38.18879,15.55755,5
051_0_A,38.18946,15.55697,6
100_0_A,38.21719,15.5657,220
100_0_A,38.21711,15.5656,219
100_0_A,38.21706,15.56553,218
100_0_A,38.21703,15.56546,217
100_0_A,38.21702,15.56538,216
100_0_A,38.21701,15.56525,215
100_0_A,38.21699,15.56515,214
100_0_A,38.21694,15.56506,213
100_0_A,38.21617,15.56406,212
100_0_A,38.21605,15.56392,211
100_0_A,38.21588,15.56376,210
100_0_A,38.21569,15.56362,209
100_0_A,38.21542,15.56346,208
100_0_A,38.21527,15.56338,207
100_0_A,38.21518,15.56332,206
100_0_A,38.21505,15.56322,205
100_0_A,38.21465,15.56296,204
100_0_A,38.21449,15.56288,203
100_0_A,38.21393,15.56253,202
100_0_A,38.21365,15.56238,201
100_0_A,38.21341,15.56226,200
100_0_A,38.21323,15.56218,199
100_0_A,38.21306,15.5621,198
100_0_A,38.21253,15.56187,197
100_0_A,38.21173,15.5615,196
100_0_A,38.21161,15.56143,195
100_0_A,38.21116,15.56123,194
100_0_A,38.21105,15.56119,193
100_0_A,38.21059,15.56098,192
100_0_A,38.21045,15.56092,191
100_0_A,38.21017,15.56085,190
100_0_A,38.21002,15.56083,189
100_0_A,38.20987,15.56083,188
100_0_A,38.20972,15.56084,187
100_0_A,38.20956,15.56087,186
100_0_A,38.20913,15.56095,185
100_0_A,38.20854,15.56105,184
100_0_A,38.20841,15.56109,183
100_0_A,38.20775,15.56122,182
100_0_A,38.20765,15.56123,181
100_0_A,38.20754,15.56123,180
100_0_A,38.20743,15.56121,179
100_0_A,38.20636,15.56091,178
100_0_A,38.20625,15.56089,177
100_0_A,38.20585,15.56084,176
100_0_A,38.20508,15.56062,175
100_0_A,38.20501,15.56061,174
100_0_A,38.20496,15.5606,173
100_0_A,38.20337,15.5601,172
100_0_A,38.20287,15.55994,171
100_0_A,38.20271,15.5599,170
100_0_A,38.20257,15.55984,169
100_0_A,38.20246,15.55978,168
100_0_A,38.20234,15.55972,167
100_0_A,38.20215,15.55961,166
100_0_A,38.2,15.55824,165
100_0_A,38.19982,15.55815,164
100_0_A,38.19975,15.55813,163
100_0_A,38.19947,15.55808,162
100_0_A,38.19929,15.55804,161
100_0_A,38.19919,15.55801,160
100_0_A,38.19908,15.55792,159
100_0_A,38.19899,15.55789,158
100_0_A,38.19729,15.55768,157
100_0_A,38.19709,15.55768,156
100_0_A,38.19408,15.55735,155
100_0_A,38.19398,15.55731,154
100_0_A,38.19355,15.55727,153
100_0_A,38.19348,15.55728,152
100_0_A,38.19343,15.55728,151
100_0_A,38.1912,15.55704,150
100_0_A,38.19044,15.55695,149
100_0_A,38.19026,15.55696,148
100_0_A,38.19009,15.557,147
100_0_A,38.18992,15.55706,146
100_0_A,38.18978,15.55713,145
100_0_A,38.18965,15.55721,144
100_0_A,38.18888,15.55791,143
100_0_A,38.18883,15.55796,142
100_0_A,38.1888,15.55801,141
100_0_A,38.18863,15.55831,140
100_0_A,38.1886,15.55836,139
