trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,drop_off_type,timepoint
011225A,,,211,8,,0,0
011225A,,,209,7,,0,0
011225A,,,207,6,,0,0
011225A,,,205,5,,0,0
011225A,,,204,4,,0,0
011225A,,,203,3,,0,0
011225A,,,202,2,,0,0
011225A,12:25:00,12:25:00,201,1,,0,1
011030A,11:15:00,11:15:00,262,57,,0,1
011030A,,,261,56,,0,0
011030A,,,260,55,,0,0
011030A,,,259,54,,0,0
011030A,,,258,53,,0,0
011030A,,,257,52,,0,0
011030A,,,256,51,,0,0
011030A,,,255,50,,0,0
011030A,,,254,49,,0,0
011030A,,,253,48,,0,0
011030A,,,252,47,,0,0
011030A,11:05:00,11:05:00,251,46,,0,1
011030A,,,250,45,,0,0
011030A,,,249,44,,0,0
011030A,,,248,43,,0,0
011030A,,,247,42,,0,0
011030A,,,246,41,,0,0
011030A,,,245,40,,0,0
011030A,,,244,39,,0,0
011030A,,,243,38,,0,0
011030A,,,242,37,,0,0
011030A,,,241,36,,0,0
011030A,,,240,35,,0,0
011030A,,,239,34,,0,0
011030A,,,238,33,,0,0
011030A,,,237,32,,0,0
011030A,,,236,31,,0,0
011030A,,,235,30,,0,0
011030A,,,234,29,,0,0
011030A,,,233,28,,0,0
011030A,10:55:00,10:55:00,232,27,,0,1
011030A,,,231,26,,0,0
011030A,,,230,25,,0,0
011030A,,,229,24,,0,0
011030A,,,228,23,,0,0
011030A,,,227,22,,0,0
011030A,,,226,21,,0,0
011030A,,,225,20,,0,0
011030A,,,224,19,,0,0
011030A,,,223,18,,0,0
011030A,,,222,17,,0,0
011030A,,,221,16,,0,0
011030A,,,220,15,,0,0
011030A,,,219,14,,0,0
011030A,,,204,4,,0,0
011030A,,,203,3,,0,0
011030A,,,202,2,,0,0
011030A,10:30:00,10:30:00,201,1,,0,1
010600A,06:35:00,06:35:00,262,57,,0,1
010600A,,,261,56,,0,0
010600A,,,260,55,,0,0
010600A,,,259,54,,0,0
010600A,,,258,53,,0,0
010600A,,,257,52,,0,0
010600A,,,256,51,,0,0
010600A,,,255,50,,0,0
010600A,,,254,49,,0,0
010600A,,,253,48,,0,0
010600A,,,252,47,,0,0
010600A,06:25:00,06:25:00,251,46,,0,1
010600A,,,250,45,,0,0
010600A,,,249,44,,0,0
010600A,,,248,43,,0,0
010600A,,,247,42,,0,0
010600A,,,246,41,,0,0
010600A,,,245,40,,0,0
010600A,,,244,39,,0,0
010600A,,,243,38,,0,0
010600A,,,242,37,,0,0
010600A,,,241,36,,0,0
010600A,,,240,35,,0,0
010600A,,,239,34,,0,0
010600A,,,238,33,,0,0
010600A,,,237,32,,0,0
010600A,,,236,31,,0,0
010600A,,,235,30,,0,0
010600A,,,234,29,,0,0
010600A,,,233,28,,0,0
010600A,06:15:00,06:15:00,232,27,,0,1
010600A,,,231,26,,0,0
010600A,,,230,25,,0,0
010600A,,,229,24,,0,0
010600A,,,228,23,,0,0
010600A,,,227,22,,0,0
010600A,,,226,21,,0,0
010600A,,,225,20,,0,0
010600A,,,224,19,,0,0
010600A,,,223,18,,0,0
010600A,,,222,17,,0,0
010600A,,,221,16,,0,0
010600A,,,220,15,,0,0
010600A,,,219,14,,0,0
010600A,,,218,13,,0,0
010600A,,,217,12,,0,0
010600A,,,215,11,,0,0
010600A,,,214,10,,0,0
010600A,,,213,9,,0,0
010600A,,,211,8,,0,0
010600A,,,209,7,,0,0
010600A,,,207,6,,0,0
010600A,,,205,5,,0,0
010600A,,,204,4,,0,0
010600A,,,203,3,,0,0
010600A,,,202,2,,0,0
010600A,06:00:00,06:00:00,201,1,,0,1
012235R,23:20:00,23:20:00,26,65,,0,1
012235R,,,25,64,,0,0
012235R,,,24,63,,0,0
012235R,,,23,62,,0,0
012235R,,,22,61,,0,0
012235R,,,21,60,,0,0
012235R,,,20,59,,0,0
012235R,23:10:00,23:10:00,19,58,,0,1
012235R,,,18,57,,0,0
012235R,,,17,56,,0,0
012235R,,,1087,55,,0,0
012235R,,,1086,54,,0,0
012235R,,,206,53,,0,0
012235R,,,208,52,,0,0
012235R,,,210,51,,0,0
012235R,,,212,50,,0,0
012235R,,,1088,49,,0,0
012235R,,,1089,48,,0,0
012235R,,,1090,47,,0,0
012235R,,,216,46,,0,0
012235R,,,1091,45,,0,0
012235R,,,1092,44,,0,0
012235R,,,1093,43,,0,0
012235R,,,1094,42,,0,0
012235R,,,1095,41,,0,0
012235R,,,1096,40,,0,0
012235R,,,1097,39,,0,0
012235R,,,1098,38,,0,0
012235R,,,1099,37,,0,0
012235R,,,1100,36,,0,0
012235R,,,1101,35,,0,0
012235R,,,1102,34,,0,0
012235R,,,1103,33,,0,0
012235R,,,1104,32,,0,0
012235R,,,1105,31,,0,0
012235R,,,1106,30,,0,0
012235R,,,1107,29,,0,0
012235R,,,1108,28,,0,0
012235R,,,1109,27,,0,0
012235R,,,1110,26,,0,0
012235R,,,1111,25,,0,0
012235R,,,1112,24,,0,0
012235R,,,1113,23,,0,0
012235R,,,1114,22,,0,0
012235R,22:55:00,22:55:00,1115,21,,0,1
012235R,,,1116,20,,0,0
012235R,,,1117,19,,0,0
012235R,,,1118,18,,0,0
012235R,,,1119,17,,0,0
012235R,,,1120,16,,0,0
012235R,,,1121,15,,0,0
012235R,,,1122,14,,0,0
012235R,,,1123,13,,0,0
012235R,22:45:00,22:45:00,1251,12,,0,1
012235R,,,1252,11,,0,0
012235R,,,1253,10,,0,0
012235R,,,1254,9,,0,0
012235R,,,1255,8,,0,0
012235R,,,1256,7,,0,0
012235R,,,1257,6,,0,0
012235R,,,1258,5,,0,0
012235R,,,1259,4,,0,0
012235R,,,1260,3,,0,0
012235R,,,1261,2,,0,0
012235R,22:35:00,22:35:00,1262,1,,0,1
012035R,21:30:00,21:30:00,26,65,,0,1
012035R,,,25,64,,0,0
012035R,,,24,63,,0,0
012035R,,,23,62,,0,0
012035R,,,22,61,,0,0
012035R,,,21,60,,0,0
012035R,,,20,59,,0,0
012035R,21:20:00,21:20:00,19,58,,0,1
012035R,,,18,57,,0,0
012035R,,,17,56,,0,0
012035R,,,1087,55,,0,0
012035R,,,1086,54,,0,0
012035R,,,206,53,,0,0
012035R,,,208,52,,0,0
012035R,,,210,51,,0,0
012035R,,,212,50,,0,0
012035R,,,1088,49,,0,0
012035R,,,1089,48,,0,0
012035R,,,1090,47,,0,0
012035R,,,216,46,,0,0
012035R,,,1091,45,,0,0
012035R,,,1092,44,,0,0
012035R,,,1093,43,,0,0
012035R,,,1094,42,,0,0
012035R,,,1095,41,,0,0
012035R,,,1096,40,,0,0
012035R,,,1097,39,,0,0
012035R,,,1098,38,,0,0
012035R,,,1099,37,,0,0
012035R,,,1100,36,,0,0
012035R,,,1101,35,,0,0
012035R,,,1102,34,,0,0
012035R,,,1103,33,,0,0
012035R,,,1104,32,,0,0
012035R,,,1105,31,,0,0
012035R,,,1106,30,,0,0
012035R,,,1107,29,,0,0
012035R,,,1108,28,,0,0
012035R,,,1109,27,,0,0
012035R,,,1110,26,,0,0
012035R,,,1111,25,,0,0
012035R,,,1112,24,,0,0
012035R,,,1113,23,,0,0
012035R,,,1114,22,,0,0
012035R,20:55:00,20:55:00,1115,21,,0,1
012035R,,,1116,20,,0,0
012035R,,,1117,19,,0,0
012035R,,,1118,18,,0,0
012035R,,,1119,17,,0,0
012035R,,,1120,16,,0,0
012035R,,,1121,15,,0,0
012035R,,,1122,14,,0,0
012035R,,,1123,13,,0,0
012035R,20:45:00,20:45:00,1251,12,,0,1
012035R,,,1252,11,,0,0
012035R,,,1253,10,,0,0
012035R,,,1254,9,,0,0
012035R,,,1255,8,,0,0
012035R,,,1256,7,,0,0
012035R,,,1257,6,,0,0
012035R,,,1258,5,,0,0
012035R,,,1259,4,,0,0
012035R,,,1260,3,,0,0
012035R,,,1261,2,,0,0
012035R,20:35:00,20:35:00,1262,1,,0,1
011810R,19:20:00,19:20:00,26,65,,0,1
011810R,,,25,64,,0,0
011810R,,,24,63,,0,0
011810R,,,23,62,,0,0
011810R,,,22,61,,0,0
011810R,,,21,60,,0,0
011810R,,,20,59,,0,0
011810R,19:05:00,19:05:00,19,58,,0,1
011810R,,,18,57,,0,0
011810R,,,17,56,,0,0
011810R,,,1087,55,,0,0
011810R,,,1086,54,,0,0
011810R,,,206,53,,0,0
011810R,,,208,52,,0,0
011810R,,,210,51,,0,0
011810R,,,212,50,,0,0
011810R,,,1088,49,,0,0
011810R,,,1089,48,,0,0
011810R,,,1090,47,,0,0
011810R,,,216,46,,0,0
011810R,,,1091,45,,0,0
011810R,,,1092,44,,0,0
011810R,,,1093,43,,0,0
011810R,,,1094,42,,0,0
011810R,,,1095,41,,0,0
011810R,,,1096,40,,0,0
011810R,,,1097,39,,0,0
011810R,,,1098,38,,0,0
011810R,,,1099,37,,0,0
011810R,,,1100,36,,0,0
011810R,,,1101,35,,0,0
011810R,,,1102,34,,0,0
011810R,,,1103,33,,0,0
011810R,,,1104,32,,0,0
011810R,,,1105,31,,0,0
011810R,,,1106,30,,0,0
011810R,,,1107,29,,0,0
011810R,,,1108,28,,0,0
011810R,,,1109,27,,0,0
011810R,,,1110,26,,0,0
011810R,,,1111,25,,0,0
011810R,,,1112,24,,0,0
011810R,,,1113,23,,0,0
011810R,,,1114,22,,0,0
011810R,18:40:00,18:40:00,1115,21,,0,1
011810R,,,1116,20,,0,0
011810R,,,1117,19,,0,0
011810R,,,1118,18,,0,0
011810R,,,1119,17,,0,0
011810R,,,1120,16,,0,0
011810R,,,1121,15,,0,0
011810R,,,1122,14,,0,0
011810R,,,1123,13,,0,0
011810R,18:25:00,18:25:00,1251,12,,0,1
011810R,,,1252,11,,0,0
011810R,,,1253,10,,0,0
011810R,,,1254,9,,0,0
011810R,,,1255,8,,0,0
011810R,,,1256,7,,0,0
011810R,,,1257,6,,0,0
011810R,,,1258,5,,0,0
011810R,,,1259,4,,0,0
011810R,,,1260,3,,0,0
011810R,,,1261,2,,0,0
011810R,18:10:00,18:10:00,1262,1,,0,1
011545R,16:50:00,16:50:00,26,65,,0,1
011545R,,,25,64,,0,0
