route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id,block_id
1,FERIALE,010805A,ALTOLIA,,0,001_0_A,001_01
1,FERIALE,011030A,ALTOLIA,,0,001_1_A,001_01
1,FERIALE,010600A,ALTOLIA,,0,001_1_A,001_01
1,FERIALE,012235R,STAZIONE CENTRALE,,1,001_0_R,001_01
1,FERIALE,012035R,STAZIONE CENTRALE,,1,001_0_R,001_01
1,FERIALE,010645R,STAZIONE CENTRALE,,1,001_0_R,001_01
1,FERIALE,012140A,ALTOLIA,,0,001_0_A,001_01
1,FERIALE,011930A,ALTOLIA,,0,001_0_A,001_01
1,FERIALE,011700A,ALTOLIA,,0,001_0_A,001_01
1,FERIALE,011430A,ALTOLIA,,0,001_0_A,001_01
1,FERIALE,010425A,ALTOLIA,,0,001_0_A,001_01
2,FERIALE,020405A,GIAMPILIERI SUP,,0,002_0_A,002_01
2,FERIALE,020435A,GIAMPILIERI SUP,,0,002_0_A,002_02
2,FERIALE,020505A,GIAMPILIERI SUP,,0,002_0_A,002_03
2,FERIALE,020535A,GIAMPILIERI SUP,,0,002_0_A,002_01
2,FERIALE,020555A,GIAMPILIERI SUP,,0,002_0_A,002_04
2,FERIALE,020615A,GIAMPILIERI SUP,,0,002_0_A,002_02
2,FERIALE,020645A,GIAMPILIERI SUP,,0,002_0_A,002_03
2,FERIALE,020720A,GIAMPILIERI SUP,,0,002_0_A,002_01
2,FERIALE,020750A,GIAMPILIERI SUP,,0,002_0_A,002_04
2,FERIALE,020830A,GIAMPILIERI SUP,,0,002_0_A,002_02
2,FERIALE,020900A,GIAMPILIERI SUP,,0,002_0_A,002_03
2,FERIALE,020940A,GIAMPILIERI SUP,,0,002_0_A,002_01
2,FERIALE,021005A,GIAMPILIERI SUP,,0,002_0_A,002_04
2,FERIALE,021045A,GIAMPILIERI SUP,,0,002_0_A,002_02
2,FERIALE,021115A,GIAMPILIERI SUP,,0,002_0_A,002_03
2,FERIALE,021155A,GIAMPILIERI SUP,,0,002_0_A,002_01
2,FERIALE,021220A,GIAMPILIERI SUP,,0,002_0_A,002_04
2,FERIALE,021300A,GIAMPILIERI SUP,,0,002_0_A,002_02
2,FERIALE,021330A,GIAMPILIERI SUP,,0,002_0_A,002_03
2,FERIALE,021405A,GIAMPILIERI SUP,,0,002_0_A,002_01
2,FERIALE,021435A,GIAMPILIERI SUP,,0,002_0_A,002_04
2,FERIALE,021500A,GIAMPILIERI SUP,,0,002_0_A,002_02
2,FERIALE,021530A,GIAMPILIERI SUP,,0,002_0_A,002_03
2,FERIALE,021605A,GIAMPILIERI SUP,,0,002_0_A,002_01
2,FERIALE,021645A,GIAMPILIERI SUP,,0,002_0_A,002_04
2,FERIALE,021715A,GIAMPILIERI SUP,,0,002_0_A,002_02
79,FESTIVO,1790910R,STAZIONE CENTRALE,,1,079_0_R,079_01
2,FERIALE,021810A,GIAMPILIERI SUP,,0,002_0_A,002_01
2,FERIALE,021845A,GIAMPILIERI SUP,,0,002_0_A,002_04
2,FERIALE,021930A,GIAMPILIERI SUP,,0,002_0_A,002_02
79,FESTIVO,1790410A,ISTITUTO MARINO,,0,079_0_A,079_01
2,FERIALE,022020A,GIAMPILIERI SUP,,0,002_0_A,002_01
2,FERIALE,022050A,GIAMPILIERI SUP,,0,002_0_A,002_04
2,FERIALE,022125A,GIAMPILIERI SUP,,0,002_0_A,002_02
6,FERIALE,072050A,GALATI S.LUCIA,,0,007_1_A,007_01
4,FERIALE,052150A,PEZZOLO,,0,005_3_A,005_01
2,FERIALE,020445R,STAZIONE CENTRALE,,1,002_0_R,002_01
2,FERIALE,020515R,STAZIONE CENTRALE,,1,002_0_R,002_02
2,FERIALE,020545R,STAZIONE CENTRALE,,1,002_0_R,002_03
2,FERIALE,020620R,STAZIONE CENTRALE,,1,002_0_R,002_01
2,FERIALE,020645R,STAZIONE CENTRALE,,1,002_0_R,002_04
2,FERIALE,020720R,STAZIONE CENTRALE,,1,002_0_R,002_02
2,FERIALE,020750R,STAZIONE CENTRALE,,1,002_0_R,002_03
2,FERIALE,020825R,STAZIONE CENTRALE,,1,002_0_R,002_01
2,FERIALE,020855R,STAZIONE CENTRALE,,1,002_0_R,002_04
2,FERIALE,020935R,STAZIONE CENTRALE,,1,002_0_R,002_02
2,FERIALE,021005R,STAZIONE CENTRALE,,1,002_0_R,002_03
2,FERIALE,021045R,STAZIONE CENTRALE,,1,002_0_R,002_01
2,FERIALE,021110R,STAZIONE CENTRALE,,1,002_0_R,002_04
2,FERIALE,021150R,STAZIONE CENTRALE,,1,002_0_R,002_02
2,FERIALE,021220R,STAZIONE CENTRALE,,1,002_0_R,002_03
2,FERIALE,021255R,STAZIONE CENTRALE,,1,002_0_R,002_01
2,FERIALE,021325R,STAZIONE CENTRALE,,1,002_0_R,002_04
2,FERIALE,021405R,STAZIONE CENTRALE,,1,002_0_R,002_02
2,FERIALE,021435R,STAZIONE CENTRALE,,1,002_0_R,002_03
2,FERIALE,021510R,STAZIONE CENTRALE,,1,002_0_R,002_01
2,FERIALE,021545R,STAZIONE CENTRALE,,1,002_0_R,002_04
2,FERIALE,021605R,STAZIONE CENTRALE,,1,002_0_R,002_02
2,FERIALE,021635R,STAZIONE CENTRALE,,1,002_0_R,002_03
2,FERIALE,021705R,STAZIONE CENTRALE,,1,002_0_R,002_01
2,FERIALE,021750R,STAZIONE CENTRALE,,1,002_0_R,002_04
2,FERIALE,021820R,STAZIONE CENTRALE,,1,002_0_R,002_02
79,FESTIVO,1791940R,STAZIONE CENTRALE,,1,079_0_R,079_02
2,FERIALE,021915R,STAZIONE CENTRALE,,1,002_0_R,002_01
2,FERIALE,021945R,STAZIONE CENTRALE,,1,002_0_R,002_04
2,FERIALE,022030R,STAZIONE CENTRALE,,1,002_0_R,002_02
79,FESTIVO,1790510R,STAZIONE CENTRALE,,1,079_0_R,079_01
2,FERIALE,022120R,STAZIONE CENTRALE,,1,002_0_R,002_01
2,FERIALE,022150R,STAZIONE CENTRALE,,1,002_0_R,002_04
2,FERIALE,022215R,STAZIONE CENTRALE,,1,002_0_R,002_02
4,FERIALE,052245R,STAZIONE CENTRALE,,1,005_3_R,005_01
3,FERIALE,040640A,BRIGA SUP.,,0,004_0_A,004_01
3,FERIALE,040715A,BRIGA SUP.,,0,004_0_A,004_01
3,FERIALE,040750A,BRIGA SUP.,,0,004_0_A,004_01
3,FERIALE,040830A,BRIGA SUP.,,0,004_0_A,004_01
3,FERIALE,040905A,BRIGA SUP.,,0,004_0_A,004_01
3,FERIALE,040940A,BRIGA SUP.,,0,004_0_A,004_01
3,FERIALE,041020A,BRIGA SUP.,,0,004_0_A,004_01
3,FERIALE,041055A,BRIGA SUP.,,0,004_0_A,004_01
3,FERIALE,041130A,BRIGA SUP.,,0,004_0_A,004_01
